id,name,bio,role,patronus,house
0,Regulus Arcturus Black,Brother of Sirius. Used to be a Death Eater but defected.,Death Eater,unknown,Slytherin
1,Sirius Black,Best friend of James Potter and godfather of Harry.,Order of Phoenix,Dog,Gryffindor
2,Lavender Brown,Killed by a werewolf. She was a gryffindor student who dated Ron.,Dumbledore's Army,Uncorporeal,Gryffindor
3,Cho Chang,Ravenclaw student who dated Cedric Diggory and Harry Potter.,Dumbledore's Army,Swan,Ravenclaw
4,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.,Death Eater,unknown,Slytherin
5,Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.,Inquisitorial Squad,unknown,unknown
6,Bartemius Crouch Sr.,Head of the department of Internation Magical Cooperation. Killed by his son.,Ministry of Magic,unknown,unknown
7,Bartemius Crouch Jr.,Death Eater who impersonated Alastor Moody.,Death Eater,unknown, unknown
8,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.,NA,unknown,NA
9,Cedric Diggory,Participated in the Triwizard tournament and got killed by Voldemort.,NA,unknown,Hufflepuff
10,Aberforth Dumbledore,Albus' brother and owner of Hog's Head.,Order of Phoenix,Goat,unknown
11,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Order of Phoenix,Phoenix,Gryffindor
12,Dudley Dursley,Muggle son of Vernon and Petunia and first-cousin of Harry.,Muggle,NA,NA
13,Petunia Dursley,Harry's aunt and sister of Lily.,Muggle,NA,NA
14,Vernon Dursley,Harry's muggle uncle.,Muggle,NA,NA
15,Argus Filch,Squib caretake of Hogwards.,Squib,NA,NA
16,Seamus Finnigan,Harry's friend and member of Dumbledore's army.,Dumbledore's Army,Fox,Gryffindor
17,Nicolas Flamel,Creator of the Philosopher's Stone.,NA,unknown,NA
18,Cornelius Fudge,Minister of Magic that was forced to resign.,Ministry of Magic,unknown,NA
19,Goyle Sr.,Death Eater and father of Gregory Goyle.,Death Eater,unknown,unknown
20,Gregory Goyle,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.,Inquisitorial Squad,unknown,Slytherin
21,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Dumbledore's Army,Otter,Gryffindor
22,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,Order of Phoenix,NA,Gryffindor
23,Igor Karkaroff,Highmaster of Durmstrang and reformed death-eater.,Death Eater,unknown,NA
24,Viktor Krum,Participant in the Triwizard tournament. Dated Hermione.,NA,unknown,NA
25,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.,Death Eater,NA,Slytherin
26,Alice Longbottom,Mother of Neville who was tortured by Bellatrix.,Order of Phoenix,unknown,unknown
27,Frank Longbottom,Father of Neville who was tortured by Bellatrix.,Order of Phoenix,unknown,unknown
28,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.,Dumbledore's Army,Uncorporeal,Gryffindor
29,Luna Lovegood,Ravenclaw student who was a member of Dumbledore's army.,Dumbledore's Army,Hare,Ravenclaw
30,Xenophilius Lovegood,Father of Luna and editor of The Quibbler.,NA,unknown,unknown
31,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.,Order of Phoenix,Wolf,Gryffindor
32,Draco Malfoy,Slytherin student who had many arguments with Harry.,Inquisitorial Squad,NA,Slytherin
33,Lucius Malfoy,Father of Draco and influential Death-Eater.,Death Eater,NA,Slytherin
34,Narcissa Malfoy,Mother of Draco and sister of Bellatrix.,NA,NA,Slytherin
35,Olympe Maxime,Half-giantess and headmistress of Beauxbatons.,NA,NA,NA
36,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,Order of Phoenix,Cat,Gryffindor
37,Alastor Mad-Eye Moody,Retired auror and member of the order of the Phoenix. Killed by Voldemort.,Order of Phoenix,unknown,unknown
38,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.,Death Eater,NA,Gryffindor
39,Harry Potter,The boy who lived. Main character of the series.,Dumbledore's Army,Stag,Gryffindor
40,James Potter,Father of Harry. Murdered by Voldemort.,Order of Phoenix,Stag,Gryffindor
41,Lily Potter,Mother of Harry. Murdered by Voldemort.,Order of Phoenix,Doe,Gryffindor
42,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.,NA,Uncorporeal,unknown
43,Tom Riddle Sr.,Muggle father of Voldemort who was killed by him.,NA,NA,NA
44,Mary Riddle,Muggle mother of Voldemort who was killed by him.,NA,NA,NA
45,Lord Voldemort,The antagonist of the series who murdered many.,Death Eater,NA,Slytherin
46,Rita Skeeter,Reporter at the Daily Prophet.,NA,NA,NA
47,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.,Death Eater,Doe,Slytherin
48,Nymphadora Tonks,Married Remus Lupin and was killed by Bellatrix.,Order of Phoenix,Jack rabbit and Wolf,Hufflepuff
49,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.,Ministry of Magic,NA,unknown
50,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Order of Phoenix,Weasel,Gryffindor
51,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,Order of Phoenix,unknown,Gryffindor
52,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,Order of Phoenix,unknown,Gryffindor
53,Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes,Dumbledore's Army,Hyena,Gryffindor
54,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes,Dumbledore's Army,Coyote,Gryffindor
55,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.,Dumbledore's Army,Horse,Gryffindor
56,Molly Weasley,Wife of Arthur and mother of the Weasleys. Kills Bellatrix.,Order of Phoenix,unknown,Gryffindor
57,Percy Weasley,Third son of Arthur and Molly. He is a Gryffindor prefect.,Ministry of Magic,unknown,Gryffindor
58,Ron Weasley,Harry's best friend. Marries Hermione.,Dumbledore's Army,Jack Russell Terrier,Gryffindor
59,Dobby,House elf and friend of Harry. He is killed by Bellatrix.,NA,NA,NA
60,Fluffy,Three-headed dog belonging to Rubeus Hagrid.,NA,NA,NA
61,Hedwig,Harry's owl.,NA,NA,NA
62,Moaning Myrtle,Ghost at Hogwards.,NA,NA,NA
63,Aragog,Acromantula belonging to Rubeus Hagrid.,NA,NA,NA
64,Grawp,Giant-half brother of Hagrid.,NA,NA,NA